repo_name,test_func,main_api,sec_op,var_type,var,scope,violated_path_num
kernel,hns_mac_register_phy,hns_dsaf_find_platform_device,put_device,retval,pdev,Local,2
kernel,img_ir_probe_hw,rc_allocate_device,rc_free_device,retval,hw->rdev,Global,4
kernel,img_ir_probe_raw,rc_allocate_device,rc_free_device,retval,raw->rdev,Global,2
kernel,st_rc_probe,rc_allocate_device,rc_free_device,retval,rdev,Local,3
kernel,hix5hd2_ir_probe,rc_allocate_device,rc_free_device,retval,rdev,Local,2
kernel,irtoy_probe,rc_allocate_device,rc_free_device,retval,rc,Local,2
kernel,i5100_init_one,edac_mc_alloc,edac_mc_free,retval,mci,Local,3
kernel,mc_probe,edac_mc_alloc,edac_mc_free,retval,mci,Local,9
kernel,highbank_mc_probe,edac_mc_alloc,edac_mc_free,retval,mci,Local,2
kernel,ghes_edac_register,edac_mc_alloc,edac_mc_free,retval,mci,Local,4
kernel,xhci_mvebu_a3700_plat_setup,of_phy_get,of_phy_put,retval,phy,Local,2
kernel,fme_bridge_enable_set,dfl_fpga_port_ops_get,dfl_fpga_port_ops_put,retval,ops,Local,2
kernel,vsp1_probe,rcar_fcp_get,rcar_fcp_put,retval,vsp1->fcp,Global,7
kernel,fdp1_probe,rcar_fcp_get,rcar_fcp_put,retval,fdp1->fcp,Global,6
kernel,rawsock_connect,nfc_get_device,nfc_put_device,retval,dev,Local,2
kernel,nfc_genl_stop_poll,nfc_get_device,nfc_put_device,retval,dev,Local,2
kernel,nfc_genl_se_io,nfc_get_device,nfc_put_device,retval,dev,Local,5
kernel,nfc_genl_vendor_cmd,nfc_get_device,nfc_put_device,retval,dev,Local,6
kernel,llcp_sock_connect,nfc_get_device,nfc_put_device,retval,dev,Local,2
kernel,bcm_sf2_mdio_register,of_mdio_find_bus,put_device,retval,priv->master_mii_bus,Global,3
kernel,ux500_musb_init,usb_get_phy,usb_put_phy,retval,musb->xceiv,Global,2
kernel,da8xx_musb_init,usb_get_phy,usb_put_phy,retval,musb->xceiv,Global,3
kernel,tusb_musb_init,usb_get_phy,usb_put_phy,retval,musb->xceiv,Global,5
kernel,pxa_udc_probe,usb_get_phy,usb_put_phy,retval,udc->transceiver,Global,15
kernel,usb_otg_start,usb_get_phy,usb_put_phy,retval,otg_trans,Global,4
kernel,usbhs_mod_gadget_probe,usb_get_phy,usb_put_phy,retval,gpriv->transceiver,Global,2
kernel,fsl_udc_probe,usb_get_phy,usb_put_phy,retval,udc_controller->transceiver,Global,23
kernel,cpufreq_cpu_acquire,cpufreq_cpu_get,cpufreq_cpu_put,retval,policy,Global,2
kernel,cpuhp_dtpm_cpu_online,cpufreq_cpu_get,cpufreq_cpu_put,retval,policy,Local,4
kernel,imx_thermal_register_legacy_cooling,cpufreq_cpu_get,cpufreq_cpu_put,retval,data->policy,Global,2
kernel,bgx_init_of_phy,of_phy_find_device,put_device,retval,pd,Local,2
kernel,xgmiitorgmii_probe,of_phy_find_device,put_device,retval,priv->phy_dev,Global,2
kernel,bcm_sf2_mdio_register,of_phy_find_device,put_device,retval,phydev,Local,2
kernel,cxgbi_hbas_add,pci_dev_get,pci_dev_put,retval,,Global,2
kernel,init_pmc551,pci_dev_get,pci_dev_put,retval,,Global,5
kernel,i7300_get_devices,pci_dev_get,pci_dev_put,retval,,Global,15
