repo_name,test_func,main_api,sec_op,var_type,var,scope,violated_path_num,score
kernel,snd_byt_rt5651_mc_probe,acpi_dev_get_first_match_dev,acpi_dev_put,retval,adev,Local,1405,326.0
kernel,drm_mode_setcrtc,drm_crtc_find,drm_crtc_vblank_put,retval,crtc,Local,874,221.05
kernel,regulator_register,of_node_get,of_node_put,retval,rdev->dev.of_node,Global,1004,202.76
kernel,j1939_xtp_rx_dat_one,j1939_session_skb_get_by_offset,kfree_skb,retval,se_skb,Local,35,97.0
kernel,mptsas_probe_one_phy,sas_port_alloc_num,sas_port_free,retval,port,Local,33,96.6
kernel,mlx5e_tc_add_fdb_flow,mlx5e_tc_int_port_get,mlx5e_tc_int_port_put,retval,int_port,Local,16,93.2
kernel,chsc_async,chsc_get_next_subchannel,put_device,retval,sch,Local,8,91.6
kernel,ubi_open_volume,ubi_get_device,put_device,retval,ubi,Local,6,91.2
kernel,__blkdev_direct_IO,bio_get,bio_put,arg0,bio,Local,4,90.8
kernel,i82875p_setup_overfl_dev,pci_scan_single_device,pci_dev_put,retval,dev,Local,4,90.8
kernel,prestera_bridge_port_join,prestera_bridge_create,prestera_bridge_put,retval,bridge,Local,3,90.6
kernel,dw_mipi_dsi_rockchip_host_attach,dw_mipi_dsi_rockchip_find_second,put_device,retval,second,Local,2,90.4
kernel,mptspi_write_spi_device_pg1,scsi_device_lookup_by_target,scsi_device_put,retval,sdev,Local,2,90.4
kernel,get_shared_pci_device_group,iommu_group_get,iommu_group_put,retval,group,Local,2,90.4
kernel,get_l2cap_conn,hci_get_route,hci_dev_put,retval,hdev,Local,2,90.4
kernel,hns_mac_register_phy,hns_dsaf_find_platform_device,put_device,retval,pdev,Local,2,90.4
kernel,chsc_get_next_subchannel,driver_find_device,put_device,retval,dev,Local,2,90.4
kernel,xhci_mvebu_a3700_plat_setup,of_phy_get,of_phy_put,retval,phy,Local,2,90.4
kernel,fme_bridge_enable_set,dfl_fpga_port_ops_get,dfl_fpga_port_ops_put,retval,ops,Local,2,90.4
kernel,drbd_adm_dump_connections,drbd_find_resource,kref_put,retval,resource,Local,108,78.27
kernel,palmas_i2c_probe,of_node_get,of_node_put,retval,palmas->i2c_clients[i]->dev.of_node,Global,367,75.36
kernel,snd_cht_mc_probe,acpi_dev_get_first_match_dev,acpi_dev_put,retval,adev,Local,143,73.6
kernel,mthca_reset,pci_get_device,pci_dev_put,arg0,mdev,Para,348,71.08
kernel,ti_sci_scan_clocks_from_dt,of_find_node_with_property,of_node_put,retval,np,Local,8,66.6
kernel,ti_sci_pm_domain_probe,of_find_node_with_property,of_node_put,retval,np,Local,7,66.4
kernel,clcdfb_of_init_display,of_graph_get_next_endpoint,of_node_put,retval,endpoint,Local,6,66.2
kernel,tipc_crypto_rcv,tipc_aead_get,tipc_aead_put,retval,aead,Local,4,65.8
kernel,nvram_init,get_mtd_device_nm,put_mtd_device,retval,mtd,Local,3,65.6
kernel,rpc_create_xprt,xprt_switch_alloc,xprt_switch_put,retval,xps,Local,3,65.6
kernel,tipc_crypto_xmit,tipc_aead_get,tipc_aead_put,retval,aead,Local,2,65.4
kernel,of_get_coresight_platform_data,of_graph_get_next_endpoint,of_node_put,retval,ep,Local,2,65.4
kernel,rpc_switch_client_transport,xprt_switch_alloc,xprt_switch_put,retval,xps,Local,2,65.4
kernel,get_tree_mtd,get_mtd_device_nm,put_mtd_device,retval,mtd,Local,2,65.4
kernel,drbd_adm_dump_devices,drbd_find_resource,kref_put,retval,resource,Local,34,63.47
kernel,nvmem_register,gpiod_get_optional,gpiod_put,retval,nvmem->wp_gpio,Global,271,62.93
kernel,cpuhp_dtpm_cpu_online,cpufreq_cpu_get,cpufreq_cpu_put,retval,policy,Local,4,57.47
kernel,f_audio_set_alt,usb_ep_alloc_request,usb_ep_free_request,retval,req,Local,3,57.27
